,tanggal_tweet,pengguna,isi_tweet,sentimen
34,2022-10-30 14:23:24+00:00,fidamira,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
35,2022-10-30 14:23:19+00:00,satoshi_j4v,"@detikcom jenius, biar menggaet kaum2 milenial-genZ...
sekalian kang:
1. 1 bulan gratis 1 seblak
2. naturalisasi ar… https://t.co/vOqRHSG15G",0
36,2022-10-30 14:23:18+00:00,SyahdanLobe,"@detikcom Teman teman jika melihat berita tentang gerombolan ini jangan dibaca dan komen. ABAIKAN.

Biar Twitt ini sebagai pengingat.",0
37,2022-10-30 14:23:14+00:00,azluail,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
38,2022-10-30 14:23:01+00:00,sandrafirdausia,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
39,2022-10-30 14:23:01+00:00,gilangjalu,"@ilympn @detikcom walah, mesakake tenan, bansos BBM dinggo alasan cost cutting 😂",-1
40,2022-10-30 14:22:43+00:00,Bamdros_,"@detikcom BAGUS Bro 👏 

Beli Pizza Sampe 10jt Nyari INDOSAT Buat Warga Binaan Dan Netijen 🤣 ...GOBLOK",0
41,2022-10-30 14:22:33+00:00,Anonimqone,"@lovaynne @detikcom @detik_jatim Iya kak salam kenal yaa, kakak ws mana? Kalo saya bukan org bws sih kak cuman ruma… https://t.co/mN42FKM7sE",0
42,2022-10-30 14:22:29+00:00,jerukbusukkkk,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
43,2022-10-30 14:22:17+00:00,FaridArgi,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
44,2022-10-30 14:22:12+00:00,detikcom,Polisi menghentikan konser 'Berdendang Bergoyang' di Istora Senayan setelah puluhan orang pingsan. Hal ini terjadi… https://t.co/K0zqRK7OA4,0
45,2022-10-30 14:22:08+00:00,chisan0809,@marsudin23 @detikcom dan mati dengan maksiat,0
46,2022-10-30 14:21:58+00:00,ferryuntunggg,@centuryJKT48 @nindydwis @detikcom Malu ga bang?,0
47,2022-10-30 14:21:45+00:00,lvrslsr,"RT @funkybukkyo: @detikcom @detik_jatim Makanya yang dibutuhkan adalah communal space, area umum bersama, bukan mall",0
48,2022-10-30 14:21:41+00:00,redbexn,"RT @satuduatiggga: @detikcom @detik_jatim uda miskin kyk binatang lagi, astaghfiruallah",0
49,2022-10-30 14:21:41+00:00,piyopikavet,"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|",1
50,2022-10-30 14:21:33+00:00,SyahdanLobe,"@detikcom Dan pbNU sering menuduh yang tak ""jalan"" dengan faham radikal. Apa bedanya kamu sama Wahabi?",0
51,2022-10-30 14:21:32+00:00,Arthamilli2111,@detikcom Eh sya malah masih bingung ini mas mas or mbak mbak serius nanya soale suara ber ubah ubah😊,0
52,2022-10-30 14:21:29+00:00,PineksoRoyi1,@detikcom Ya Allah...aktor2x jaman dulu bertumbangan sudah...😭😭😭,0
53,2022-10-30 14:21:29+00:00,HasilnyaNol,"@detikcom @detik_jatim sini gw ajak loe min liat org kota metik daun teh dipuncak/dibandung, atau mau milih metik s… https://t.co/CWJNN3bwIl",0
54,2022-10-30 14:21:27+00:00,ekamey36,@detikcom Inalilahiwainalilahirojiun.. Semoga amal ibadah nya di terima di sisih allah swt. Aamiin,0
55,2022-10-30 14:21:15+00:00,tyaraga,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
56,2022-10-30 14:21:13+00:00,nnurulamalia,"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|",1
57,2022-10-30 14:20:58+00:00,detikcom,"Kenikmatan seseorang dalam bercinta sering dikonotasikan pada orgasme. Jika kesulitan mendapatkannya, cobalah cara-… https://t.co/PSHGePTNje",0
58,2022-10-30 14:20:57+00:00,detikcom,Seorang balita di Probolinggo meninggal usai diserang kawanan tawon di dekat rumahnya padahal ia tidak turut mengus… https://t.co/rUmeo9L74a,0
59,2022-10-30 14:20:44+00:00,donna_francy,@detikcom Siapa dito mahendra ini?serius nanya.maap ga tau..,0
60,2022-10-30 14:20:44+00:00,nnurulamalia,"RT @detikcom: Malam Halloween di Itaewon, Seoul, Korea Selatan, berubah jadi mencekam saat ratusan orang tewas dalam kerumunan pesta. Presi…",0
61,2022-10-30 14:20:43+00:00,liasalisa,makanya pake googlemap biar nggak nyasar https://t.co/AKbvPiVkSV,0
62,2022-10-30 14:20:32+00:00,NgambisShitpost,"RT @sasaran_empuk: @detikcom @detik_jatim Nah gini dong gak usah pake initial, segala tukang ngentot paksa jangan pake initial kalau perlu…",0
63,2022-10-30 14:20:31+00:00,nugrohorofil86,"RT @maman1965: Orang kota juga tingkahnya lucu kalau ke desa naik kerbau, tanam padi dan panjat pohon. Rela2in bayar ratusan ribu per orang…",0
64,2022-10-30 14:20:03+00:00,iskymell,Masyaallah 🥹🫡 https://t.co/2uysD6U0KQ,0
65,2022-10-30 14:20:01+00:00,eunikero,"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|",1
66,2022-10-30 14:20:00+00:00,Peonny___,@detikcom Ini teh dia lagi bercanda dong sama buibu 😭,0
67,2022-10-30 14:19:58+00:00,AriefLucky4,"RT @okkymadasari: Saya akan ikut dlm barisan yg melawan kalau sampai event seperti HijrahFest &amp; HijabFest dilarang. 

Jangan sampai pemerin…",0
68,2022-10-30 14:19:58+00:00,SonjayaJW,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
69,2022-10-30 14:19:47+00:00,Y87Mo,@detikcom Keputusan yg tepat,0
70,2022-10-30 14:19:31+00:00,rakabekk,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
71,2022-10-30 14:19:26+00:00,_jihanabila369,@centuryJKT48 @detikcom Ga gitu konsepnya. Bsu itu buat karyawan yang gajinya dibawah 3.5 JT. Jadi sudah seharusnya… https://t.co/aX7f3qWja3,0
72,2022-10-30 14:19:22+00:00,Anto1157,"RT @Kak1Lang1t: Wahai @nahdlatululama 
Acara Hijrah Fest &amp; Hijab Fest yg mencoba dekatkan umat ke Tuhannya kalian larang..

Sementara acara…",0
73,2022-10-30 14:19:21+00:00,wwwngie,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
74,2022-10-30 14:19:17+00:00,jjweenn,@detikcom @bangtanfavor @detik_jatim neraka: tambah lagi beban satu,0
75,2022-10-30 14:18:27+00:00,detikcom,Sebanyak 88 PNS lingkup Pemkot Parepare diminta mengembalikan dana Bantuan Subsidi Upah (BSU). Berikut info selengk… https://t.co/um8A1tbaJM,0
76,2022-10-30 14:18:24+00:00,AuliaRasika,@detikcom Kenapa sih kronoligisnya bisa hilang ada yang tau ga sih,0
77,2022-10-30 14:18:20+00:00,putriprstya,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
78,2022-10-30 14:18:16+00:00,urpwettybb,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
79,2022-10-30 14:18:15+00:00,bipolaritsmae,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
80,2022-10-30 14:18:10+00:00,urpwettybb,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
81,2022-10-30 14:17:55+00:00,WariorXman,"@detikcom Usut sampai tuntas, siapa saja yg kasih makan itu teroris dr magetan.",0
82,2022-10-30 14:17:53+00:00,fridayferdy,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
83,2022-10-30 14:17:49+00:00,HeySeptianM,@detikcom rek umroh sugan panitia na,0
84,2022-10-30 14:17:47+00:00,daddyduckkk,"@detikcom Org kanker aja ga diurusin suster/dokter kl pk BPJS, ni lg skinker.",0
85,2022-10-30 14:17:23+00:00,calciieum,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
86,2022-10-30 14:17:15+00:00,akunkutriplea,"@centuryJKT48 @nindydwis @detikcom Lu nanya apa lagi berpendapat? 
Kalo dari penjelasan diatas, kayaknya lu lagi sok tai soalnya",0
87,2022-10-30 14:17:13+00:00,detikcom,Pengisi suara Pak Ogah si 'Unyil' dikabarkan mengalami stroke kedua di sebelah kiri. Apa bedanya dengan stroke sebe… https://t.co/sXb3YxvSPN,0
88,2022-10-30 14:16:56+00:00,mohammedsabeq,"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|",1
89,2022-10-30 14:16:52+00:00,SamsulH51223896,@detikcom JarJi... JarBeh .. Ganjar Siji... Ganjar Kabeh,0
90,2022-10-30 14:16:44+00:00,mujaaulia29,"😂😂😂😂😂😂😂😂😂😂😂
Radikal radikul
Isu yang selalu di goreng di tengah masyarakat Indonesia.
Tidak sadar bahwa warga China… https://t.co/bJa2ffMDNa",0
91,2022-10-30 14:16:41+00:00,valkyrie7650,@detikcom Foto calon2 komisaris nih,0
92,2022-10-30 14:16:37+00:00,uriekyn,RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…,0
93,2022-10-30 14:16:35+00:00,daffaibn,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
94,2022-10-30 14:16:32+00:00,nadgreal0,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
95,2022-10-30 14:16:08+00:00,_Ryuuma,"RT @Outstandjing: Bayangin selama ini mereka bisa menikmati weekend tanpa ke Mall, what a bliss

Unthinkable for Jakartans",-1
96,2022-10-30 14:16:04+00:00,codikaffffff,@detikcom Demi sdm glowing,0
97,2022-10-30 14:15:54+00:00,elisyazein,RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.,0
98,2022-10-30 14:15:50+00:00,trinugroho162,"RT @restyca_yah: 🤣🤣 Si fadli ketakutan di tempeleng mantu si Luhut 

Klu ini beneran teroris di istana yg bakal dipecat ya  Ndan Paspampres…",0
99,2022-10-30 14:15:50+00:00,dewata141,@detikcom Jangan terulang lagi penonton berlebih setelah kajadian belakangan ini.tindak tegas panitia cari untung y… https://t.co/KJ366eaGqq,0
