,Tweets
51,Balita Probolinggo meninggal disengat kawanan Tawon Vespa saat hendak menyusul 3 saudaranya yang sedang bermain-mai… https://t.co/Wz9ckpvCHj
52,Duel Arsenal vs Nottingham Forest hadir di partai Liga Inggris Premier League nanti malam. Simak di sini informasi… https://t.co/WfbrzZ3zov
53,Tragedi Itaewon meninggalkan luka mendalam di Korea Selatan. Kini sejumlah festival musik dibatalkan dan Chen EXO p… https://t.co/bogAQXpwTE
54,"Korban tewas tragedi Halloween Itaewon kembali bertambah. Kini, korban tewas yang dilaporkan sebanyak 153 orang. Be… https://t.co/9gtYkoGTeP"
55,"Tragedi Halloween di Itaewon, Seoul, Korea Selatan, Terjadi pada Sabtu malam waktu setempat. Sejauh ini, insiden te… https://t.co/nbY4iR2ynv"
56,"Polisi meminta keterangan resmi dari dua orang panitia konser Berdendang Bergoyang di Istora Senayan, Jakarta Pusat… https://t.co/WNuPJUaqWn"
57,Polisi hingga kini masih terus menyelidik kejadian yang menyebabkan penonton konser Berdendang Bergoyang di Istora… https://t.co/No8h6K6T0i
58,Marcus Rashford menuju 100 gol dengan kostum Manchester United. Manajer Erik ten Hag berpesan agar pemainnya itu le… https://t.co/ojqciIqDWH
59,Potret duka tragedi Itaewon di jantung ibu kota Korea Selatan yang menewaskan 153 orang pada malam perayaan Hallowe… https://t.co/34BMJBqrM5
60,"Sebuah bus pariwisata melintang di Jalan Margonda, Depok. Bus tertahan saat hendak putar balik lantaran ada posisi… https://t.co/4lx3lZ6Wcq"
61,Manchester United Vs West Ham United hadir di laga Liga Inggris pekan ini. Simak di sini informasi link live stream… https://t.co/qec2W838xf
62,"Kapal MV Abu Sama muatan pupuk terbakar di pelabuhan milik PT Krakatau Bandar Samudera (KBS), Cilegon. Seluruh ABK… https://t.co/VExxiiUzZC"
63,"Adik kandung Almarhum Pawang Ular Trenggalek mengaku tak ada yang menelepon meminta King Kobra 4,5 meter dipulangka… https://t.co/XJs5EkEeZT"
64,Seorang siswa kelas 3 SMA tewas gantung diri. Si ibu yang menemukan pertama kali tubuh anaknya tergantung berteriak… https://t.co/Aw7APwxrB7
65,"Untuk sekadar hobi, memelihara ular kobra sudah terkategori sangat berbahaya. Apalagi memelihara King Kobra. https://t.co/KDfKAU5W4A"
66,Polres Jakpus sedang berada di tempat berlangsungnya Festival Berdendang Bergoyang. Polisi sedang mengumpulkan data… https://t.co/JQ0wrxQ7jL
67,Korban tewas Tragedi Itaewon menjadi 153 orang. Kemenlu RI juga umumkan 2 WNI jadi korban luka-luka dalam peristiwa… https://t.co/O5Wfe3wGzX
68,Nicolo Fagioli akhirnya bisa mencetak gol untuk Juventus. Hal itu adalah penantiannya sepanjang hidup. https://t.co/iinZwA7x4b
69,"Para korban tragedi maut di pesta Halloween Distrik, Seoul, Korea Selatan meninggal setelah berdesak-desakan. Seora… https://t.co/Xjqg6F3kk2"
70,Perjalanan pulang terasa lebih cepat bukan sekadar sensasi yang dirasakan saja. Ada penjelasan ilmiah kenapa hal in… https://t.co/S1PqVKAp1d
71,Atta Halilintar diduga terjerat dalam kasus robot trading Net89. Atta kini menyerahkan kepada pihak berwajib untuk… https://t.co/hQRuTs0AhD
72,Meramu mimpi menjadi kenyataan tak semudah membalikkan telapak tangan. Mereka yang ingin jadi atlet muda bulu tangk… https://t.co/M0emzsFOgU
73,Seorang balita di Probolinggo meninggal usai diserang kawanan tawon di dekat rumahnya. Padahal ia tidak turut mengu… https://t.co/CQzsombjHI
74,"Kebakaran di Jalan Kebayoran Lama, Jakbar melanda 40 lapak, 13 pintu kontrakan beserta 6 rumah permanen. Jumlah kor… https://t.co/jyeIZJz8l9"
75,"Pelaku pembunuhan mayat wanita yang ditemukan dalam karung di perkebunan, Desa Kepuk, Kecamatan Bangsri, Jepara, di… https://t.co/9yv3TCNT5O"
76,"Wamenaker, Afriansyah Ferry Noer dalam diskusi publik yang diinisasi IMES, menyebut adanya larangan ekspor besar-be… https://t.co/l15t5EWV5U"
77,"Robert Brazil, suami dari korban penembakan di Texas AS, Novita Kurnia Putri, mengantar jenazah istrinya hingga dim… https://t.co/iFGxK9uwxB"
78,"Bulan Oktober penuh duka di mata netizen. Tragedi Kanjuruhan dan Itaewon, Korea Selatan menjadi catatan kelam di pa… https://t.co/UIzt9zx9RP"
79,"PM Jepang Fumio Kishida menyampaikan duka citanya atas tragedi maut di Distrik Itaewon, Seoul, Korea Selatan. Dia m… https://t.co/FfXOdqhNQE"
80,Pakar gunung api atau pakar Vulkanologi Surono yang kerap disapa 'Mbah Rono' resmi menjadi kader PDIP. Apa alasan M… https://t.co/XbgOCms9MN
81,Sekjen PDIP Hasto Kristiyanto mengatakan bakal ada pertemuan intens dengan Ketua Umum Megawati Soekarnoputri dengan… https://t.co/2uoWCQr9Ip
82,Kejadian-kejadian lucu dan menggelitik warga Bondowoso menyambut kehadiran mal tampaknya sudah diantisipasi yakni d… https://t.co/TEafkNTeWL
83,Rumah SandiUno Indonesia (RSI) mengaku siap 'all out' memenangkan Sandiaga Uno sebagai calon presiden di 2024. https://t.co/vtF3hysSx4
84,Menkopolhukam enggan berkomentar banyak tentang Bupati Bangkalan yang jadi tersangka korupsi tapi belum ditahan KPK. https://t.co/jOwimPJdlm
85,Festival buah di Desa Latukan Lamongan. Festival ini untuk mensyukuri hasil panen yang melimpah. https://t.co/dumwdG3cMT
86,"Tragedi Halloween maut di Itaewon, Seoul, Korea Selatan atau Korsel, yang menewaskan 153 orang. Keberadaan polisi d… https://t.co/O819rv5CSe"
87,Adi mengatakan relawan tersebut harus dipastikan terlebih dahulu apakah benar pendukung Ganjar atau bukan. https://t.co/MV0c1nqegq
88,Akhir-akhir ini ulah berandal motor kembali marak terjadi di Sukabumi. Aksi gerombolan geng motor bahkan itu mengak… https://t.co/dpbzRaWxKe
89,"PSSI meminta PT Liga Indonesia Baru menggelar menggelar rapat umum pemegang saham (RUPS), terkait situasi Akhmad Ha… https://t.co/uJWpsLOnp7"
90,"Ratusan orang tewas dalam tragedi malam Halloween di Itaewon, Korsel, pada Sabtu (29/10). Presiden Korea Selatan, Y… https://t.co/a0xm21yg7Z"
91,Bukti baru keberadaan samudera utara kuno ditemukan di Planet Mars. Apakah benar ada kehidupan di sana? https://t.co/Pnn2dOYU2t
92,"Jenazah Novita Kurnia Putri, WNI korban salah tembak di Texas, Amerika Serikat (AS), telah tiba di rumah duka di Ba… https://t.co/ht4qzEue1u"
93,"Calon presiden Partai NasDem, Anies Baswedan, menyambangi kantor DPP PKS, Jakarta. Anies sempat berpantun di hadapa… https://t.co/hvhpOkWUCy"
94,#Foto Ketum PKB Muhaimin Iskandar dan Ketum Gerindra Prabowo Subianto tampil satu panggung di Road to Election 2024… https://t.co/0D6BeZc1RM
95,"Presiden AS Joe Biden menyampaikan dukacitanya atas tragedi maut pesta Halloween di Distrik Itaewon, Seoul. https://t.co/KEUOJIwgAA"
96,"#Foto Pesta Halloween di sebuah gang di Itaewon, Seoul berakhir petaka. Sebanyak 151 orang dilaporkan meninggal dun… https://t.co/MLzXcz4sFC"
97,"""Begini saya bilang, di semua negara itu cacat demokrasi pasti ada. Kita perbaiki, bukan ideologinya diganti,"" kata… https://t.co/7JDTfSzRkH"
98,ICW berkomentar soal KPK yang mengkaji penggunaan restorative justice dalam tindak pidana korupsi. ICW menilai pern… https://t.co/288QXhK4nZ
99,"Gubernur Lukas Enembe, yang berstatus tersangka KPK, menjalani pemeriksaan dari dokter luar negeri di Jayapura. Ber… https://t.co/xUiywUr04Q"
100,Hasto bicara momentum pengumuman capres 2024 dari partainya. Hasto menyebut jelang pengumuman bakal ada pertemuan i… https://t.co/OrR7EcNT5v
101,Gubernur Jateng Ganjar Pranowo mendapatkan sanksi teguran lisan dari DPP PDI Perjuangan. Sanksi ini merupakan buntu… https://t.co/53r70Lu3wu
102,Sejumlah pasien RS Medika Permata Hijau sempat dievakuasi imbas Kebakaran di Jl Kebayoran Lama. Gedung RS dinyataka… https://t.co/NeEfNsCKrz
103,"Syekh Nasher atau Eyang Singomodo, merupakan sosok di balik pantangan mendengar nyanyian sinden di Singomodo, Desa… https://t.co/CETJIM2lqd"
104,"Kasus harian Corona atau COVID-19 di Indonesia kembali bertambah. Hari ini, terdapat 2.717 kasus positif Corona bar… https://t.co/aNDMqK6P97"
105,Pemerintah Kabupaten Jembrana memperpanjang status keadaan darurat bencana hingga 31 Desember 2022.  https://t.co/cuSYeMLAK6
106,"Seorang siswi SMK diperkosa pria di Buton Utara, Sultra. Pelaku sempat mengancam membunuh korban agar melayani nafs… https://t.co/KbIikvnX1g"
107,Seorang napi Lapas Kediri tewas diduga akibat perkelahian dan dikeroyok antar napi.  https://t.co/LVl6u4qYqL
108,"Empat hari hilang, Ali Masykur (26), nelayan Banyuwangi, ditemukan tewas. Maskur ditemukan tak bernyawa di sekitar… https://t.co/BzzdPCqTSU"
109,Edy Rahmayadi menghadiri acara jalan santai yang diselenggarakan oleh DPC Gerindra Medan bersama relawan Prabowo Su… https://t.co/APFXabnEjc
110,"Jumlah kasus positif COVID-19 bertambah 2.717, Minggu (30/10/2022). Sementara itu, pasien sembuh bertambah 1.895 ka… https://t.co/jXC0sT6WKY"
111,Bima Arya mencomblangkan Ganjar dan Ridwan Kamil di Pilpres 2024. Direktur PPI Adi Prayitno menilai paslon Ganjar d… https://t.co/mUjGsb3hbg
112,"Mahfud Md, Menkopolhukam menyampaikan banyak hal tentang demokrasi dan penegakan hukum di forum rektor yang berlang… https://t.co/bhY3q2FuZV"
113,Mantan Kepala BNPB Letjen TNI (Purn) Ganip Warsito resmi menjadi kader PDIP. Dia pun menjelaskan alasannya bergabun… https://t.co/LfSOBHzpKE
114,Samuel Iling-Junior kembali beri dampak sip saat main untuk Juventus. Dia salah satu pemain yang berpotensi unjuk k… https://t.co/mA4TXe3kqO
115,Festival Berdendang Bergoyang di Istora Senayan menyebabkan puluhan penonton jatuh pingsan. Polisi menyebut insiden… https://t.co/pktN6dWPdU
116,"Ketika mencari 'Itaewon' di Google, muncul SOS Alert. Sebenarnya apa arti dari SOS Alerts yang ditampilkan Google?  https://t.co/0irvIwEpYv"
117,Daftar 30 tragedi kerumunan paling mematikan di muka bumi. Kanjuruhan dan Itaewon termasuk! https://t.co/HuKQDZ2MSi
118,Lionel Messi tampil luar biasa saat Paris Saint-Germain menekuk Troyes. La Pulga bikin satu gol dan satu assist bri… https://t.co/QmnUPKGWKq
119,"Kebakaran terjadi di belakang RS Permata Hijau, Kebayoran Lama, Jakarta Barat. Sebanyak 28 pasien pun dievakuasi im… https://t.co/copgTCGmt9"
120,"Korban jiwa tragedi maut di Distrik Itaewon, Seoul, Korea Selatan (Korsel) terus bertambah. Kini, ada 153 orang yan… https://t.co/f5gOM3MikB"
121,DPC PDIP Solo membentangkan poster Ganjar berpeci saat Upacara Sumpah Pemuda sekaligus perayaan HUT ke-54 Ganjar. H… https://t.co/rwtXmsJ9mj
122,Dua tragedi yang sama-sama merenggut nyawa ratusan orang terjadi di awal dan di penghujung bulan Oktober 2022. https://t.co/vg5jOhdVZ4
123,Tragedi Halloween di Itaewon terjadi pada Sabtu malam waktu setempat. Insiden itu menelan 151 korban tewas puluhan… https://t.co/PVpFSqukRm
124,"Presiden Joko Widodo (Jokowi) menyampaikan belasungkawa atas tragedi maut di Distrik Itaewon, Seoul, Korea Selatan… https://t.co/37bPid4ksg"
125,Pelepasliaran ular berbisa seperti King Kobra perlu memerhatikan teknis yang aman dengan sejumlah pertimbangan sepe… https://t.co/z1BDBdO24m
126,Polisi mengamankan dua kelompok remaja yang hendak tawuran di kawasan Jakarta Selatan. Polisi menyebut dua kelompok… https://t.co/kgBlBemYc6
127,Jalan sehat tapi pakai sarung? Ini dia puncak hari santri nasional di Kota Pasuruan dimeriahkan dengan kegiatan Jal… https://t.co/G9SajV2J94
128,"Indonesia mencatat sebanyak 2.717 kasus baru COVID-19, Minggu (30/10/2022). DKI Jakarta menyumbang kasus terbanyak… https://t.co/VR2fCJAdLO"
129,"Ada sejumlah langkah yang perlu dilakukan oleh masyarakat ketika dipatuk ular, termasuk jenis King Kobra. Salah sat… https://t.co/DWVpArL0wW"
130,Seorang terduga teroris diamankan Densus 88. Terduga teroris diamankan saat pulang ke Magetan menjenguk orang tuany… https://t.co/pTTcCwfmop
131,Duel Arsenal vs Nottingham Forest hadir di partai Liga Inggris Premier League nanti malam. Simak di sini informasi… https://t.co/OwnUqLtbjP
132,"Ewha Womans University merupakan kampus khusus perempuan pertama di Korea Selatan, tepatnya di kota Seoul. Bagaiman… https://t.co/BwPi9RKpx6"
133,Pertempuran Kubang menjadi bukti kesetiaan pemuda Garut melawan penjajah. Pemuda berbekal bambu runcing melawan sen… https://t.co/ApEvFrr5T6
134,Tim Rescue Pusdalops dari BPBD Sumedang berjibaku dan bertaruh nyawa untuk mengantisipasi longsor susulan di kawasa… https://t.co/O3Bx4tP1b8
135,Tim Panji Petualang yang sebelumnya menyebutkan keluarga Almarhum Pawang Trenggalek minta King Kobra dikembalikan m… https://t.co/BJjGzUPEsw
136,"Henti jantung diduga menjadi penyebab 151 orang tewas dalam tragedi malam Halloween yang terjadi di Itaewon, Korea… https://t.co/5B3QixZQtI"
137,"Serunya ke wisata jembatan pelangi, spot selfie populer di Desa Banyu Urip Lombok. Berikut info selengkapnya.  https://t.co/gRrBzCRRAU"
138,Kekalahan 1-2 dialami Liverpool di kandang sendiri saat menjamu Leeds United. Hal itu menegaskan betapa si Merah bu… https://t.co/snxYw8cmrJ
139,Polisi sudah mengamankan dua orang diduga pelaku penyekapan dan penyiksaan terhadap Rohimah (29) seorang Asisten Ru… https://t.co/sUcDNC6EA8
140,Bebek goreng paling hits di Bekasi ada di Nasi Bebek Bulak Kapal Pahlawan. Bebek gorengnya disajikan dengan tambaha… https://t.co/cpN1LXa47t
141,Din Syamsuddin menyebut pimpinan pusat Muhammadiyah ke depan perlu diisi figur-figur 'berdarah segar'. Ini daftar n… https://t.co/CY7dJtuUV4
142,"Jenazah korban penembakan di Texas, Novita Kurnia Putri, akhirnya dimakamkan di Semarang hari ini. Isak tangis kelu… https://t.co/e5DhfYm8XD"
143,"Tragedi maut di Distrik Itaewon, Seoul, Korea Selatan menewaskan 151 orang masih diselidiki. Keberadaan polisi dala… https://t.co/no98b7Vfxy"
144,Ganjarist menilai ada penyusup atau relawan siluman yang sengaja mengatur orkestrasi isu itu dengan tujuan mengadu… https://t.co/1Drwy1ir4B
145,Setidaknya 151 orang meninggal dan 355 orang lainnya hilang dalam tragedi Pesta Halloween di Itaewon. Tragedi itu p… https://t.co/Gq3r1Fs06e
146,"Jalani shift malam, seorang chef mengalami sendiri kisah horor di restorannya!  https://t.co/lFrTHhc8bn"
147,"Malaysia juga mengalami inflasi yang sebabkan harga makanan naik. Tapi, pria ini buktikan bahwa ia masih bisa makan… https://t.co/PsltZQShkj"
148,Raheem Sterling disebut tak berkembang di bawah asuhan Graham Potter di Chelsea. Winger asal Inggris itu dinilai be… https://t.co/4wVUrb8HX8
149,#Foto  Dunia ikut berduka dengan tragedi Halloween Itaewon yang menewaskan setidaknya 151 orang. Kawasan ini memang… https://t.co/pHRW11joiX
150,Gelaran Jombang Culture Carnival diwarnai insiden tewasnya seorang penonton. Korban tewas diduga karena serangan ja… https://t.co/i57DDfKe7V
151,Kemenlu RI di Seoul melaporkan setidaknya dua warga negara Indonesia terluka akibat tragedi pesta Halloween di Itae… https://t.co/mkZITvhEu9
152,Bima Arya 'mencomblangkan' Ganjar Pranowo dan Ridwan Kamil untuk Pilpres 2024. Sekjen PDIP Hasto mengungkit momen M… https://t.co/ZJs6hOItQe
153,"Gabungan relawan Jokowi menggelar Musyawarah Rakyat Indonesia seri ke-4 di Palembang, Sumatera Selatan. Sejumlah na… https://t.co/zThh7VRqrl"
154,Din Syamsuddin menyebut pimpinan pusat Muhammadiyah ke depan perlu figur-figur yang 'berdarah segar'. Berikut perny… https://t.co/CMlysMuE9c
155,Produsen obat sirup Unibebi melaporkan PT Logicom Solution ke Polda Sumut atas dugaan penipuan terkait penyaluran b… https://t.co/cFoIiXhao2
156,Siapa juara dunia MotoGP 2022 akan ditentukan pekan depan. Berikut jadwal MotoGP Valencia 2022 yang menjadi seri pe… https://t.co/EoHmRWK0ab
157,Operasi plastik digunakan oleh sebagian orang untuk terlihat lebih cantik sesuai yang diinginkan. Oprasi plastik ba… https://t.co/bhAuXScaJB
158,Prabowo tak ambil pusing soal deklarasi capres koalisi bersama PKB. Dia mengatakan prioritas yang terpenting baginy… https://t.co/eC86NS7Kqb
159,Kakek penjual es krim di Singapura ini sempat viral lantaran dagangannya sepi. Netizen pun berbondong-bondong memba… https://t.co/0FCYILrv2k
160,Atta Halilintar diduga terjerat dalam kasus robot trading Net89. Kini dirinya menyerahkan kepada pihak berwajib unt… https://t.co/vfv41rrwmu
161,Hak politik mantan Gubernur Aceh Irwandi Yusuf dicabut buntut kasus suap yang menjeratnya. Irwandi mengaku masih ak… https://t.co/qoY6w1URCP
162,"Robert Brazil, suami dari korban penembakan di Texas, Novita Kurnia Putri, ikut mengantar jenazah istrinya hingga d… https://t.co/5s5x2mzIvF"
163,Tiga orang tentara Amerika Serikat yang ditempatkan di kawasan itu membagikan kisah mereka selamat dari tragedi ter… https://t.co/dGWFFWCO0b
164,Banyaknya jalur tikus pendakian ke puncak Gunung Lawu diduga dibuka oleh para peritual yang nekat saat 6 jalur resm… https://t.co/737zkfH5zY
165,"Pulau Sembilan di Sinjai, Sulsel memiliki sejumlah spot wisata yang sayang untuk dilewatkan. Salah satunya adalah w… https://t.co/5NmSzbAo33"
166,Striker Arsenal sudah enam laga beruntun tak cetak gol. Manajer Mikel Arteta menilai paceklik gol dari striker haru… https://t.co/lQKO0BFTO4
167,Tim dokter Gubernur Papua Lukas Enembe tiba di Jayapura. Mereka didatangkan langsung dari Singapura.  https://t.co/EFRe4LoHMu
168,Mahasiswi asal Madiun jadi korban pemerkosaan seorang penjual pentol di Ngawi. Berikut kronologi dan fakta selengka… https://t.co/7vzBn8DvPo
169,Xavi Hernandez menilai bahwa Barcelona pantas menang atas Valencia. Gennaro Gattuso tak setuju dan menilai Los Che… https://t.co/k8gYgOJlOO
170,"Mantan Gubernur Aceh Irwandi Yusuf telah kembali ke Aceh usai bebas bersyarat dari Lapas Sukamiskin, Bandung.  https://t.co/0QQu9XeCnh"
171,"Seorang Pekerja Migran Indonesia, Martinus Mamun Doni, asal Desa Helanlangowuyo, NTT meninggal di Malaysia.  https://t.co/BddZ9iR72n"
172,Seminggu ini ada sejumlah berita di Jatim yang mendapat banyak atensi dari pembaca. Mulai dari pawang tewas dipatuk… https://t.co/ecXBTj8Mip
173,"Seorang pria di Buton Utara, Sultra, ditangkap usai memperkosa siswa SMK yang sedang PKL. Pelaku mengancam korban a… https://t.co/9bctgwkRcZ"
174,Tragedi malam Halloween di Itaewon bukan kali pertama terjadi. Banyak kasus di dunia yang juga menyebabkan ratusan… https://t.co/9Xe0Bbjs0B
175,"Pelemparan bom di rumah salah satu petugas lapas Klas I Lowokwaru, Kota Malang tengah diselidiki polisi. Dua orang… https://t.co/hX6RFWr3dJ"
176,"Predikat Cristiano Ronaldo sebagai pemain Manchester United paling kuat, berotot, dan bertenaga dapat ancaman seriu… https://t.co/QaX8nvK1Ja"
177,"Kebakaran terjadi di Jakarta Barat, tepatnya di Jalan Kebayoran Lama. Sejauh ini sudah 20 unit mobil pemadam kebaka… https://t.co/kL9YbulvWx"
178,"Kebakaran melanda pemukiman warga di belakang RS Permata Hijau, Kebayoran Lama, jakarta Barat. Hingga kini, pemadam… https://t.co/hQmZGYDAtx"
179,Event organizer Berdendang Bergoyang Festival resmi membatalkan gelaran acara di hari ke-3. Pembatalan ini dilakuka… https://t.co/5u7bzOs7Kg
180,Anies ingin pasangan yang bisa menjaga stabilitas dan dukungan partai politik pendukung. Berikut penjelasannya.  https://t.co/m5tYflqhK6
