;Unnamed: 0;tanggal_tweet;pengguna;isi_tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
10;10;2022-10-30 14:26:16+00:00;richathina;RT @maman1965: Orang kota juga tingkahnya lucu kalau ke desa naik kerbau, tanam padi dan panjat pohon. Rela2in bayar ratusan ribu per orang…;0;rt user orang kota juga tingkahnya lucu kalau ke desa naik kerbau tanam padi dan panjat pohon rela2in bayar ratusan ribu per orang;['rt', 'user', 'orang', 'kota', 'juga', 'tingkahnya', 'lucu', 'kalau', 'ke', 'desa', 'naik', 'kerbau', 'tanam', 'padi', 'dan', 'panjat', 'pohon', 'rela2in', 'bayar', 'ratusan', 'ribu', 'per', 'orang'];['rt', 'user', 'orang', 'kota', 'juga', 'tingkahnya', 'lucu', 'kalau', 'ke', 'desa', 'naik', 'kerbau', 'tanam', 'padi', 'dan', 'panjat', 'pohon', 'rela2in', 'bayar', 'ratusan', 'ribu', 'per', 'orang'];rt user orang kota juga tingkahnya lucu kalau ke desa naik kerbau tanam padi dan panjat pohon rela2in bayar ratusan ribu per orang;rt user orang kota tingkah lucu kalau desa naik kerbau tanam padi panjat pohon rela2in bayar ratus ribu per orang
11;11;2022-10-30 14:26:12+00:00;Anonimqone;@FishmanSoudashu @wijdanr @detikcom @detik_jatim Saya bukan bilang bwi ada mall nya atau gak, sejak tahun 98 saya t… https://t.co/DlpcogCYta;0;user user user user saya bukan bilang bwi ada mall nya atau gak sejak tahun number saya codlpcogcyta;['user', 'user', 'user', 'user', 'saya', 'bukan', 'bilang', 'bwi', 'ada', 'mall', 'nya', 'atau', 'gak', 'sejak', 'tahun', 'number', 'saya', 'codlpcogcyta'];['user', 'user', 'user', 'user', 'saya', 'bukan', 'bilang', 'bwi', 'ada', 'mall', 'nya', 'atau', 'gak', 'sejak', 'tahun', 'number', 'saya', 'codlpcogcyta'];user user user user saya bukan bilang bwi ada mall nya atau gak sejak tahun number saya codlpcogcyta;user user user user bukan bilang bwi mall nya gak sejak tahun number codlpcogcyta
12;12;2022-10-30 14:26:09+00:00;irez_pass10ne;@Anonimqone @wijdanr @detikcom @detik_jatim Baru beberapa tahun belakangan?;0;user user user user baru beberapa tahun belakangan;['user', 'user', 'user', 'user', 'baru', 'beberapa', 'tahun', 'belakangan'];['user', 'user', 'user', 'user', 'baru', 'beberapa', 'tahun', 'belakangan'];user user user user baru beberapa tahun belakangan;user user user user baru beberapa tahun belakang
13;13;2022-10-30 14:26:06+00:00;rkstmfrl;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
14;14;2022-10-30 14:25:59+00:00;thasia_AA;RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.;0;rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;rt user warga jakarta heboh lihat sawah pisang goreng kopi klotok kaliurang sebut healing
15;15;2022-10-30 14:25:35+00:00;SalomonID;"RT @lantip: sementara di sini, yg mestinya bertanggungjawab malah fun football. 

para petinggi kita memang belum genap belajar adab :|";1;rt user sementara di sini yg mestinya bertanggungjawab malah fun football para petinggi kita memang belum genap belajar adab sad;['rt', 'user', 'sementara', 'di', 'sini', 'yg', 'mestinya', 'bertanggungjawab', 'malah', 'fun', 'football', 'para', 'petinggi', 'kita', 'memang', 'belum', 'genap', 'belajar', 'adab', 'sad'];['rt', 'user', 'sementara', 'di', 'sini', 'yg', 'mestinya', 'bertanggungjawab', 'malah', 'fun', 'football', 'para', 'petinggi', 'kita', 'memang', 'belum', 'genap', 'belajar', 'adab', 'sad'];rt user sementara di sini yg mestinya bertanggungjawab malah fun football para petinggi kita memang belum genap belajar adab sad;rt user di sini yg mesti bertanggungjawab malah fun football petinggi memang genap ajar adab sad
16;16;2022-10-30 14:25:28+00:00;gilangjalu;bikinnya cm 1-2 bulan kali ya https://t.co/jF8PGltArv;0;bikinnya cm number number bulan kali ya cojf8pgltarv;['bikinnya', 'cm', 'number', 'number', 'bulan', 'kali', 'ya', 'cojf8pgltarv'];['bikinnya', 'cm', 'number', 'number', 'bulan', 'kali', 'ya', 'cojf8pgltarv'];bikinnya cm number number bulan kali ya cojf8pgltarv;bikin cm number number bulan kali cojf8pgltarv
17;17;2022-10-30 14:25:28+00:00;Pisces123141;@gforgea @marufins @inifiki @jenikuhibiniu @detikcom @DivHumas_Polri Iyaa apalgi jugaa yg berkeliaran gk cma yg iku… https://t.co/k8CrS21aLS;0;user user user user user user iyaa apalgi jugaa yg berkeliaran gk cma yg iku cok8crs21als;['user', 'user', 'user', 'user', 'user', 'user', 'iyaa', 'apalgi', 'jugaa', 'yg', 'berkeliaran', 'gk', 'cma', 'yg', 'iku', 'cok8crs21als'];['user', 'user', 'user', 'user', 'user', 'user', 'iyaa', 'apalgi', 'jugaa', 'yg', 'berkeliaran', 'gk', 'cma', 'yg', 'iku', 'cok8crs21als'];user user user user user user iyaa apalgi jugaa yg berkeliaran gk cma yg iku cok8crs21als;user user user user user user iyaa apalgi jugaa yg liar gk cma yg iku cok8crs21als
18;18;2022-10-30 14:25:11+00:00;irez_pass10ne;@Pratama_Gaa @Anonimqone @detikcom @detik_jatim Dan rata² pendatang 😁;0;user user user user dan rata pendatang;['user', 'user', 'user', 'user', 'dan', 'rata', 'pendatang'];['user', 'user', 'user', 'user', 'dan', 'rata', 'pendatang'];user user user user dan rata pendatang;user user user user rata datang
19;19;2022-10-30 14:25:11+00:00;detikcom;Tessa Mariska dikabarkan menggelar tumpengan usai Nikita Mirzani ditahan di Rutan Kelas IIB Serang. Lantas apa kata… https://t.co/yXZyanugfv;0;tessa mariska dikabarkan menggelar tumpengan usai nikita mirzani ditahan di rutan kelas iib serang lantas apa kata coyxzyanugfv;['tessa', 'mariska', 'dikabarkan', 'menggelar', 'tumpengan', 'usai', 'nikita', 'mirzani', 'ditahan', 'di', 'rutan', 'kelas', 'iib', 'serang', 'lantas', 'apa', 'kata', 'coyxzyanugfv'];['tessa', 'mariska', 'dikabarkan', 'menggelar', 'tumpengan', 'usai', 'nikita', 'mirzani', 'ditahan', 'di', 'rutan', 'kelas', 'iib', 'serang', 'lantas', 'apa', 'kata', 'coyxzyanugfv'];tessa mariska dikabarkan menggelar tumpengan usai nikita mirzani ditahan di rutan kelas iib serang lantas apa kata coyxzyanugfv;tessa mariska kabar gelar tumpeng usai nikita mirzani tahan rutan kelas iib serang lantas apa kata coyxzyanugfv
20;20;2022-10-30 14:25:08+00:00;faizalaziz;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
21;21;2022-10-30 14:25:06+00:00;detikcom;Seorang narapidana di Lembaga Pemasyarakatan Klas 2A Kediri tewas dikeroyok sesama napi. Polisi pun menetapkan 3 na… https://t.co/62ryXjJHkr;0;seorang narapidana di lembaga pemasyarakatan klas 2 kediri tewas dikeroyok sesama napi polisi pun menetapkan number na co62ryxjjhkr;['seorang', 'narapidana', 'di', 'lembaga', 'pemasyarakatan', 'klas', '2', 'kediri', 'tewas', 'dikeroyok', 'sesama', 'napi', 'polisi', 'pun', 'menetapkan', 'number', 'na', 'co62ryxjjhkr'];['seorang', 'narapidana', 'di', 'lembaga', 'pemasyarakatan', 'klas', '2', 'kediri', 'tewas', 'dikeroyok', 'sesama', 'napi', 'polisi', 'pun', 'menetapkan', 'number', 'na', 'co62ryxjjhkr'];seorang narapidana di lembaga pemasyarakatan klas 2 kediri tewas dikeroyok sesama napi polisi pun menetapkan number na co62ryxjjhkr;orang narapidana lembaga masyarakat klas 2 diri tewas keroyok sama napi polisi tetap number na co62ryxjjhkr
22;22;2022-10-30 14:24:57+00:00;v14nzone;RT @detikcom: Menteri Keuangan Sri Mulyani mengungkap tak kurang dari Rp180 T anggaran dialokasikan untuk pendidikan. Hal itu dilakukan seb…;0;rt user menteri keuangan sri mulyani mengungkap tak kurang dari rp180 anggaran dialokasikan untuk pendidikan hal itu dilakukan seb;['rt', 'user', 'menteri', 'keuangan', 'sri', 'mulyani', 'mengungkap', 'tak', 'kurang', 'dari', 'rp180', 'anggaran', 'dialokasikan', 'untuk', 'pendidikan', 'hal', 'itu', 'dilakukan', 'seb'];['rt', 'user', 'menteri', 'keuangan', 'sri', 'mulyani', 'mengungkap', 'tak', 'kurang', 'dari', 'rp180', 'anggaran', 'dialokasikan', 'untuk', 'pendidikan', 'hal', 'itu', 'dilakukan', 'seb'];rt user menteri keuangan sri mulyani mengungkap tak kurang dari rp180 anggaran dialokasikan untuk pendidikan hal itu dilakukan seb;rt user menteri uang sri mulyani ungkap tak kurang rp180 anggar alokasi didik itu laku seb
23;23;2022-10-30 14:24:53+00:00;kawaina_neko;"@AOzhawa @detikcom Masalahnya org2 yg pinter itu ga komen kyk km lah Om
Mreka sibuk dgn dunia belajar &amp; invest nya… https://t.co/sdJpVLJ4L1";0;user user masalahnya org2 yg pinter itu ga komen kyk km lah om mreka sibuk dgn dunia belajar invest nya cosdjpvlj4l1;['user', 'user', 'masalahnya', 'org2', 'yg', 'pinter', 'itu', 'ga', 'komen', 'kyk', 'km', 'lah', 'om', 'mreka', 'sibuk', 'dgn', 'dunia', 'belajar', 'invest', 'nya', 'cosdjpvlj4l1'];['user', 'user', 'masalahnya', 'org2', 'yg', 'pinter', 'itu', 'ga', 'komen', 'kyk', 'km', 'lah', 'om', 'mreka', 'sibuk', 'dgn', 'dunia', 'belajar', 'invest', 'nya', 'cosdjpvlj4l1'];user user masalahnya org2 yg pinter itu ga komen kyk km lah om mreka sibuk dgn dunia belajar invest nya cosdjpvlj4l1;user user masalah org2 yg pinter ga komen kyk km lah om mreka sibuk dgn dunia ajar invest nya cosdjpvlj4l1
24;24;2022-10-30 14:24:51+00:00;jpsatrio;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
25;25;2022-10-30 14:24:43+00:00;enigmatic_404;RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.;0;rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;rt user warga jakarta heboh lihat sawah pisang goreng kopi klotok kaliurang sebut healing
26;26;2022-10-30 14:24:43+00:00;SyahdanLobe;"@detikcom Teman teman jika melihat berita tentang gerombolan ini jangan dibaca dan komen. ABAIKAN.

Biar Twitt ini sebagai pengingat.";0;user teman teman jika melihat berita tentang gerombolan ini jangan dibaca dan komen abaikan biar twitt ini sebagai pengingat;['user', 'teman', 'teman', 'jika', 'melihat', 'berita', 'tentang', 'gerombolan', 'ini', 'jangan', 'dibaca', 'dan', 'komen', 'abaikan', 'biar', 'twitt', 'ini', 'sebagai', 'pengingat'];['user', 'teman', 'teman', 'jika', 'melihat', 'berita', 'tentang', 'gerombolan', 'ini', 'jangan', 'dibaca', 'dan', 'komen', 'abaikan', 'biar', 'twitt', 'ini', 'sebagai', 'pengingat'];user teman teman jika melihat berita tentang gerombolan ini jangan dibaca dan komen abaikan biar twitt ini sebagai pengingat;user teman teman lihat berita gerombol jangan baca komen abai biar twitt bagai ingat
27;27;2022-10-30 14:24:28+00:00;septianpriyono;"RT @WidasSatyo: Media perkotaan ini kok kayak ""heran"" dan terkesan ""ngejek"" orang desa yg baru pertamakali ngerasain punya mall. 

Itu loh…";0;rt user media perkotaan ini kok kayak heran dan terkesan ngejek orang desa yg baru pertamakali ngerasain punya mall itu loh;['rt', 'user', 'media', 'perkotaan', 'ini', 'kok', 'kayak', 'heran', 'dan', 'terkesan', 'ngejek', 'orang', 'desa', 'yg', 'baru', 'pertamakali', 'ngerasain', 'punya', 'mall', 'itu', 'loh'];['rt', 'user', 'media', 'perkotaan', 'ini', 'kok', 'kayak', 'heran', 'dan', 'terkesan', 'ngejek', 'orang', 'desa', 'yg', 'baru', 'pertamakali', 'ngerasain', 'punya', 'mall', 'itu', 'loh'];rt user media perkotaan ini kok kayak heran dan terkesan ngejek orang desa yg baru pertamakali ngerasain punya mall itu loh;rt user media kota kok kayak heran kes ngejek orang desa yg baru pertamakali ngerasain punya mall loh
28;28;2022-10-30 14:24:26+00:00;Anonimqone;@PermenSeratusan @Pratama_Gaa @detikcom @detik_jatim Iya memang mungkin saya kurang riset. Karna saya tinggal nya d… https://t.co/wgz29xTwzG;0;user user user user iya memang mungkin saya kurang riset karna saya tinggal nya cowgz29xtwzg;['user', 'user', 'user', 'user', 'iya', 'memang', 'mungkin', 'saya', 'kurang', 'riset', 'karna', 'saya', 'tinggal', 'nya', 'cowgz29xtwzg'];['user', 'user', 'user', 'user', 'iya', 'memang', 'mungkin', 'saya', 'kurang', 'riset', 'karna', 'saya', 'tinggal', 'nya', 'cowgz29xtwzg'];user user user user iya memang mungkin saya kurang riset karna saya tinggal nya cowgz29xtwzg;user user user user iya memang mungkin kurang riset karna tinggal nya cowgz29xtwzg
29;29;2022-10-30 14:24:25+00:00;dickySNU;RT @heyylennon: Warga Jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang. Mereka menyebutnya healing.;0;rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];['rt', 'user', 'warga', 'jakarta', 'heboh', 'saat', 'melihat', 'sawah', 'dan', 'pisang', 'goreng', 'di', 'kopi', 'klotok', 'kaliurang', 'mereka', 'menyebutnya', 'healing'];rt user warga jakarta heboh saat melihat sawah dan pisang goreng di kopi klotok kaliurang mereka menyebutnya healing;rt user warga jakarta heboh lihat sawah pisang goreng kopi klotok kaliurang sebut healing
30;30;2022-10-30 14:24:09+00:00;RezaFahdini;RT @AgusMagelangan: Ga tau aja tingkah orang-orang metropolitan yang mau bayar 300 ribu buat naik kebo dan nanam bibit padi dan bayar 250 r…;0;rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];['rt', 'user', 'ga', 'tau', 'aja', 'tingkah', 'orang', 'orang', 'metropolitan', 'yang', 'mau', 'bayar', 'number', 'ribu', 'buat', 'naik', 'kebo', 'dan', 'nanam', 'bibit', 'padi', 'dan', 'bayar', 'number'];rt user ga tau aja tingkah orang orang metropolitan yang mau bayar number ribu buat naik kebo dan nanam bibit padi dan bayar number;rt user ga tau aja tingkah orang orang metropolitan mau bayar number ribu buat naik kebo nanam bibit padi bayar number
31;31;2022-10-30 14:23:47+00:00;detikcom;Satu set peta topografi Mars yang baru-baru ini dirilis memberikan bukti baru keberadaan samudra utara kuno di Plan… https://t.co/ApQX2y3mGO;0;satu set peta topografi mars yang baru baru ini dirilis memberikan bukti baru keberadaan samudra utara kuno di plan coapqx2y3mgo;['satu', 'set', 'peta', 'topografi', 'mars', 'yang', 'baru', 'baru', 'ini', 'dirilis', 'memberikan', 'bukti', 'baru', 'keberadaan', 'samudra', 'utara', 'kuno', 'di', 'plan', 'coapqx2y3mgo'];['satu', 'set', 'peta', 'topografi', 'mars', 'yang', 'baru', 'baru', 'ini', 'dirilis', 'memberikan', 'bukti', 'baru', 'keberadaan', 'samudra', 'utara', 'kuno', 'di', 'plan', 'coapqx2y3mgo'];satu set peta topografi mars yang baru baru ini dirilis memberikan bukti baru keberadaan samudra utara kuno di plan coapqx2y3mgo;satu set peta topografi mars baru baru rilis beri bukti baru ada samudra utara kuno plan coapqx2y3mgo
32;32;2022-10-30 14:23:33+00:00;pirmansyahpi2t;Akal²an ... https://t.co/FXPUriROsR;0;akalan cofxpurirosr;['akalan', 'cofxpurirosr'];['akalan', 'cofxpurirosr'];akalan cofxpurirosr;akal cofxpurirosr
